panelist_id,age_band,region,category,months_on_glp1,pre_glp1_size,post_glp1_size
P01158,35-44,Southwest,womens_tops,18,L,M
P01159,65+,Southwest,womens_bottoms,7,M,S
P01160,25-34,Northeast,mens_tops,12,L,S
P01161,45-54,Midwest,womens_dresses,3,S,S
P01162,65+,Northeast,mens_bottoms,13,1X,XL
P01163,25-34,Northeast,mens_tops,19,L,S
P01164,25-34,Southwest,mens_bottoms,12,L,L
P01165,25-34,Southeast,womens_bottoms,7,1X,XL
P01166,65+,Southwest,womens_dresses,13,L,S
P01167,45-54,Northeast,womens_bottoms,16,XL,M
P01168,25-34,Southeast,womens_dresses,12,2X,1X
P01169,45-54,Midwest,womens_bottoms,8,XL,M
P01170,35-44,Northeast,womens_tops,21,XL,XL
P01171,55-64,Southwest,mens_bottoms,3,S,XS
P01172,25-34,Southeast,mens_bottoms,12,L,XS
P01173,45-54,West,mens_tops,18,L,M
P01174,35-44,West,womens_tops,11,M,XS
P01175,25-34,Northeast,womens_tops,10,L,L
P01176,55-64,Northeast,womens_bottoms,18,2X,L
P01177,35-44,Southeast,mens_tops,16,1X,XL
P01178,35-44,West,mens_bottoms,20,M,M
P01179,55-64,West,womens_dresses,13,2X,XL
P01180,35-44,Southwest,womens_dresses,23,L,XS
P01181,65+,Midwest,womens_bottoms,11,1X,XL
P01182,45-54,Northeast,womens_tops,9,1X,XL
P01183,35-44,Southwest,womens_dresses,13,XL,XL
P01184,55-64,Southeast,mens_bottoms,16,1X,L
P01185,45-54,Northeast,mens_tops,7,XL,L
P01186,45-54,Midwest,mens_bottoms,8,M,XS
P01187,45-54,Midwest,womens_dresses,22,XL,L
P01188,45-54,Southwest,womens_bottoms,4,XL,XL
P01189,25-34,Southeast,womens_bottoms,10,L,S
P01190,25-34,Midwest,mens_bottoms,20,1X,L
P01191,35-44,Midwest,womens_tops,21,M,XS
P01192,65+,Midwest,mens_bottoms,24,1X,XL
P01193,65+,Southeast,womens_dresses,14,L,M
P01194,45-54,Northeast,womens_tops,20,3X+,XL
P01195,65+,Southeast,womens_dresses,17,L,S
P01196,45-54,Midwest,mens_tops,3,XL,XL
P01197,25-34,Midwest,mens_tops,24,M,XS
P01198,45-54,Midwest,womens_dresses,20,XL,L
P01199,35-44,Northeast,mens_bottoms,15,3X+,2X
P01200,45-54,West,womens_bottoms,6,3X+,3X+
P01201,65+,Midwest,womens_bottoms,13,1X,XL
P01202,55-64,Northeast,womens_dresses,4,XL,XL
P01203,65+,Midwest,mens_bottoms,21,2X,XL
P01204,55-64,Midwest,mens_bottoms,4,M,M
P01205,35-44,Southeast,womens_bottoms,8,L,S
P01206,25-34,Southeast,mens_bottoms,19,XL,M
P01207,35-44,Southwest,womens_dresses,7,XL,XL
P01208,45-54,Southwest,mens_bottoms,18,1X,XL
P01209,25-34,Southwest,mens_bottoms,21,M,S
P01210,25-34,West,mens_tops,10,XL,L
P01211,25-34,Southeast,mens_tops,19,XL,L
P01212,65+,Southwest,womens_bottoms,13,L,XS
P01213,55-64,Midwest,womens_dresses,12,1X,1X
P01214,25-34,West,mens_tops,24,3X+,XL
P01215,55-64,Northeast,womens_tops,10,XL,L
P01216,45-54,West,womens_tops,8,1X,L
P01217,55-64,Midwest,womens_tops,10,XL,L
P01218,35-44,Midwest,womens_tops,20,L,XS
P01219,25-34,Southeast,mens_tops,8,L,M
P01220,25-34,West,mens_bottoms,15,M,XS
P01221,35-44,Southwest,mens_bottoms,7,L,S
P01222,35-44,Southeast,mens_bottoms,8,S,XS
P01223,55-64,Southwest,womens_dresses,12,S,XS
P01224,25-34,Midwest,womens_dresses,21,L,M
P01225,65+,West,mens_bottoms,13,1X,XL
P01226,55-64,Southeast,womens_dresses,13,2X,1X
P01227,45-54,Midwest,womens_dresses,14,M,M
P01228,25-34,Southeast,mens_tops,16,3X+,2X
P01229,45-54,West,womens_tops,3,XL,M
P01230,25-34,Northeast,mens_tops,15,M,XS
P01231,25-34,Northeast,mens_tops,10,3X+,2X
P01232,45-54,Midwest,mens_tops,24,L,L
P01233,35-44,Southwest,mens_bottoms,10,S,XS
P01234,35-44,Southeast,mens_bottoms,5,2X,2X
P01235,65+,Midwest,mens_bottoms,16,XL,XL
P01236,25-34,Northeast,womens_bottoms,23,XL,M
P01237,55-64,Northeast,womens_bottoms,22,XL,L
P01238,55-64,Midwest,mens_tops,20,2X,L
P01239,55-64,West,womens_tops,20,M,XS
P01240,25-34,Southeast,womens_bottoms,24,L,M
P01241,25-34,Southeast,mens_bottoms,7,S,XS
P01242,25-34,Midwest,womens_dresses,17,M,S
P01243,55-64,West,womens_bottoms,21,1X,1X
P01244,35-44,Southeast,mens_bottoms,19,L,XS
P01245,25-34,Midwest,womens_bottoms,8,2X,XL
P01246,25-34,Midwest,mens_tops,22,1X,XL
P01247,55-64,Midwest,womens_dresses,18,2X,1X
P01248,55-64,Southeast,mens_tops,15,1X,1X
P01249,45-54,Midwest,mens_tops,23,2X,1X
P01250,55-64,West,mens_tops,21,3X+,2X
P01251,65+,Northeast,mens_bottoms,4,3X+,3X+
P01252,55-64,Southeast,womens_bottoms,3,1X,L
P01253,25-34,Midwest,mens_tops,23,2X,XL
P01254,55-64,Midwest,mens_bottoms,21,XL,S
P01255,55-64,Midwest,mens_bottoms,23,1X,L
P01256,35-44,Southeast,womens_bottoms,8,XL,M
P01257,65+,Southeast,mens_bottoms,6,XL,L
P01258,55-64,Southeast,mens_tops,11,1X,1X
P01259,45-54,Southeast,womens_dresses,11,1X,XL
P01260,25-34,Southeast,womens_bottoms,3,XL,XL
P01261,25-34,Southeast,mens_tops,21,XL,L
P01262,65+,Southwest,womens_bottoms,19,XL,S
P01263,55-64,Midwest,mens_tops,14,XS,XS
P01264,55-64,Midwest,womens_dresses,20,2X,2X
P01265,35-44,Southwest,womens_dresses,23,2X,L
P01266,65+,West,womens_bottoms,7,XL,L
P01267,25-34,Southeast,womens_dresses,18,M,S
P01268,45-54,West,womens_tops,13,M,M
P01269,65+,Southeast,mens_tops,13,1X,M
P01270,45-54,Midwest,mens_bottoms,5,XS,XS
P01271,55-64,Northeast,mens_tops,3,3X+,3X+
P01272,35-44,Northeast,mens_bottoms,16,XS,XS
P01273,45-54,Northeast,womens_bottoms,13,3X+,1X
P01274,65+,Midwest,womens_bottoms,5,L,S
P01275,65+,West,womens_dresses,23,L,S
P01276,55-64,Southwest,womens_tops,9,2X,2X
P01277,25-34,Midwest,womens_bottoms,4,1X,L
P01278,25-34,West,womens_bottoms,5,XL,S
P01279,65+,Southwest,mens_tops,4,XL,L
P01280,45-54,Northeast,mens_tops,6,XL,XL
P01281,45-54,Midwest,mens_tops,21,2X,XL
P01282,65+,Southeast,mens_tops,10,M,XS
P01283,35-44,Southwest,womens_bottoms,14,3X+,2X
P01284,65+,Northeast,mens_tops,14,1X,1X
P01285,25-34,Midwest,womens_dresses,5,L,XS
P01286,25-34,Southwest,mens_tops,4,XL,M
P01287,55-64,Midwest,womens_tops,20,1X,XL
P01288,35-44,Northeast,womens_tops,15,M,M
P01289,55-64,West,mens_bottoms,5,XL,M
P01290,65+,Midwest,womens_dresses,14,L,M
P01291,25-34,Southwest,womens_bottoms,23,L,S
P01292,35-44,Southeast,womens_bottoms,3,XL,L
P01293,45-54,Southeast,mens_tops,13,XL,M
P01294,65+,Northeast,womens_dresses,5,XS,XS
P01295,35-44,West,womens_dresses,15,2X,1X
P01296,65+,Northeast,mens_bottoms,10,S,XS
P01297,65+,Northeast,womens_tops,3,XL,XL
P01298,55-64,Southwest,mens_bottoms,15,1X,L
P01299,35-44,West,womens_tops,18,XL,XL
P01300,25-34,Southeast,mens_tops,9,XL,M
P01301,55-64,Midwest,mens_bottoms,18,XL,M
P01302,65+,Southeast,womens_tops,12,XL,M
P01303,65+,West,womens_bottoms,7,M,XS
P01304,25-34,Southeast,mens_bottoms,12,1X,L
P01305,65+,Southwest,womens_tops,24,XL,M
P01306,25-34,West,womens_dresses,17,2X,1X
P01307,65+,West,womens_tops,12,XL,M
P01308,35-44,Midwest,womens_bottoms,8,L,L
P01309,35-44,West,womens_dresses,3,3X+,3X+
P01310,35-44,Midwest,womens_bottoms,8,3X+,2X
P01311,45-54,Northeast,mens_tops,23,L,M
P01312,55-64,Midwest,womens_dresses,8,2X,1X
P01313,35-44,Northeast,womens_tops,11,XL,S
P01314,45-54,Northeast,mens_tops,20,2X,XL
P01315,45-54,Southeast,womens_bottoms,19,2X,XL
P01316,65+,Southeast,womens_bottoms,17,XL,M
P01317,35-44,Southwest,womens_bottoms,10,S,XS
P01318,25-34,West,womens_dresses,9,M,S
P01319,25-34,Southwest,womens_bottoms,17,M,S
P01320,25-34,Northeast,mens_bottoms,5,1X,XL
P01321,25-34,Midwest,womens_dresses,4,XL,M
P01322,45-54,Southwest,womens_bottoms,12,XL,L
P01323,35-44,Northeast,womens_tops,6,L,L
P01324,55-64,West,womens_bottoms,12,2X,M
P01325,45-54,Midwest,womens_tops,16,M,S
P01326,25-34,Southeast,mens_tops,11,L,M
P01327,55-64,Southwest,mens_bottoms,4,3X+,2X
P01328,45-54,Southwest,womens_bottoms,21,XL,XL
P01329,45-54,West,womens_dresses,16,3X+,1X
P01330,45-54,Southeast,womens_tops,15,2X,1X
P01331,35-44,Southeast,mens_bottoms,10,L,M
P01332,35-44,Midwest,mens_tops,19,2X,XL
P01333,65+,Northeast,mens_bottoms,20,S,XS
P01334,35-44,Northeast,womens_dresses,6,L,S
P01335,45-54,West,womens_dresses,6,M,XS
P01336,45-54,Southeast,womens_tops,3,M,S
P01337,65+,Midwest,mens_bottoms,7,XL,M
P01338,65+,Midwest,mens_tops,18,1X,XL
P01339,45-54,Northeast,mens_tops,3,1X,1X
P01340,65+,Midwest,womens_bottoms,10,XL,M
P01341,35-44,Southeast,mens_bottoms,8,L,L
P01342,65+,West,womens_bottoms,23,1X,XL
P01343,55-64,Northeast,mens_bottoms,23,L,L
P01344,45-54,Southeast,mens_tops,3,L,M
P01345,55-64,Southeast,mens_tops,22,2X,2X
P01346,25-34,Southeast,mens_bottoms,14,M,M
P01347,65+,Midwest,womens_dresses,18,XL,L
P01348,35-44,Southeast,womens_dresses,24,XL,S
P01349,45-54,West,womens_bottoms,23,S,S
P01350,25-34,Midwest,womens_dresses,9,L,M
P01351,25-34,Southeast,womens_tops,20,S,XS
P01352,45-54,Midwest,mens_tops,6,XL,L
P01353,35-44,Midwest,womens_tops,17,XL,XL
P01354,55-64,West,mens_tops,21,2X,XL
P01355,35-44,West,womens_tops,11,XL,M
P01356,65+,West,womens_bottoms,21,3X+,3X+
P01357,55-64,Southeast,mens_tops,19,XL,L
P01358,65+,West,mens_bottoms,21,L,M
P01359,35-44,Northeast,mens_bottoms,12,1X,XL
P01360,55-64,Midwest,womens_bottoms,16,1X,1X
P01361,55-64,Midwest,mens_tops,22,L,S
P01362,55-64,Midwest,womens_dresses,3,M,XS
P01363,55-64,West,womens_dresses,15,M,XS
P01364,55-64,West,mens_bottoms,4,L,L
P01365,55-64,Southeast,mens_tops,24,M,M
P01366,35-44,Southwest,womens_dresses,22,XL,M
P01367,65+,Northeast,womens_dresses,10,XS,XS
P01368,25-34,Southeast,mens_tops,15,M,XS
P01369,45-54,Southwest,mens_bottoms,13,M,M
P01370,45-54,Northeast,mens_tops,22,XS,XS
P01371,45-54,Northeast,womens_tops,13,2X,1X
P01372,65+,Southeast,womens_dresses,21,XL,L
P01373,25-34,Southeast,mens_tops,11,2X,XL
P01374,35-44,Northeast,mens_bottoms,10,XL,L
P01375,25-34,Northeast,mens_bottoms,4,2X,2X
P01376,35-44,West,womens_dresses,15,M,S
P01377,45-54,West,mens_tops,8,2X,XL
P01378,55-64,Northeast,mens_tops,6,S,S
P01379,55-64,Midwest,mens_bottoms,3,2X,1X
P01380,35-44,Northeast,womens_tops,15,L,S
P01381,35-44,Southeast,mens_tops,7,L,M
P01382,65+,Southeast,womens_dresses,21,S,XS
P01383,55-64,West,womens_dresses,17,XL,M
P01384,25-34,West,womens_tops,9,2X,2X
P01385,65+,Southwest,womens_dresses,8,1X,L
P01386,35-44,West,mens_bottoms,18,XL,XL
P01387,65+,Northeast,mens_bottoms,13,1X,L
P01388,25-34,West,mens_bottoms,15,2X,1X
P01389,55-64,Midwest,womens_tops,9,L,M
P01390,55-64,West,womens_bottoms,5,S,S
P01391,35-44,Southwest,mens_tops,6,3X+,3X+
P01392,25-34,West,womens_dresses,20,S,XS
P01393,25-34,Southeast,womens_bottoms,14,XL,M
P01394,25-34,West,mens_bottoms,4,XL,L
P01395,25-34,Midwest,womens_dresses,4,1X,1X
P01396,45-54,Midwest,mens_bottoms,21,2X,2X
P01397,35-44,Midwest,womens_bottoms,24,S,XS
P01398,45-54,Southwest,mens_tops,18,XS,XS
P01399,25-34,Southwest,womens_dresses,20,L,XS
P01400,65+,West,mens_bottoms,8,1X,XL
P01401,55-64,West,mens_bottoms,13,1X,XL
P01402,55-64,Southwest,mens_tops,24,XL,L
P01403,65+,Southwest,womens_tops,8,L,S
P01404,45-54,Southwest,womens_bottoms,11,1X,L
P01405,55-64,Southeast,mens_tops,21,XL,S
P01406,65+,Midwest,mens_bottoms,7,L,L
P01407,55-64,Midwest,womens_bottoms,8,L,M
P01408,65+,West,womens_dresses,9,S,XS
P01409,25-34,Midwest,womens_bottoms,24,XL,M
P01410,65+,Southeast,mens_bottoms,5,2X,2X
P01411,45-54,Midwest,womens_dresses,5,L,M
P01412,45-54,Southwest,womens_tops,7,XL,M
P01413,35-44,West,womens_dresses,16,S,XS
P01414,55-64,Northeast,mens_bottoms,15,1X,XL
P01415,45-54,West,womens_dresses,19,3X+,3X+
P01416,55-64,West,womens_bottoms,23,1X,L
P01417,65+,Midwest,womens_dresses,16,XL,L
P01418,25-34,West,womens_tops,12,2X,2X
P01419,25-34,West,mens_bottoms,17,L,S
P01420,55-64,Midwest,womens_bottoms,11,XS,XS
P01421,25-34,Southwest,womens_bottoms,24,L,M
P01422,25-34,Southeast,mens_tops,16,XL,L
P01423,35-44,Southeast,mens_tops,12,3X+,1X
P01424,55-64,Midwest,womens_dresses,7,S,XS
P01425,35-44,Southwest,womens_dresses,3,3X+,2X
P01426,45-54,Northeast,womens_bottoms,19,2X,1X
P01427,25-34,Southeast,womens_tops,20,1X,XL
P01428,45-54,Southwest,mens_bottoms,9,XL,XL
P01429,25-34,Southwest,womens_tops,3,L,S
P01430,55-64,Northeast,womens_dresses,17,XL,M
P01431,55-64,Southeast,womens_tops,20,L,S
P01432,25-34,Northeast,mens_tops,15,L,L
P01433,35-44,Northeast,womens_tops,10,XL,L
P01434,55-64,Midwest,womens_tops,12,1X,1X
P01435,35-44,West,womens_bottoms,7,1X,XL
P01436,35-44,Southeast,womens_dresses,3,XL,M
P01437,45-54,West,womens_bottoms,21,XL,L
P01438,65+,Northeast,womens_bottoms,9,1X,M
P01439,55-64,Southeast,mens_tops,16,1X,XL
P01440,65+,West,womens_bottoms,19,L,S
P01441,55-64,Northeast,womens_tops,18,XL,L
P01442,65+,Midwest,womens_tops,3,1X,XL
P01443,55-64,Southeast,mens_tops,18,M,XS
P01444,25-34,Southwest,mens_bottoms,11,L,M
P01445,55-64,West,womens_bottoms,4,L,L
P01446,55-64,West,womens_tops,3,M,M
P01447,45-54,Southwest,mens_bottoms,19,1X,M
P01448,55-64,Northeast,womens_dresses,6,XS,XS
P01449,45-54,Southwest,womens_tops,21,L,S
P01450,25-34,Midwest,womens_dresses,15,1X,1X
P01451,35-44,West,womens_bottoms,15,XL,S
P01452,25-34,West,mens_tops,21,2X,1X
P01453,45-54,Southwest,womens_dresses,9,XL,L
P01454,55-64,West,womens_tops,9,XL,L
P01455,45-54,Midwest,mens_bottoms,16,XL,M
P01456,35-44,West,womens_dresses,6,2X,2X
P01457,65+,West,mens_bottoms,8,L,L
P01458,45-54,West,womens_bottoms,15,XL,S
P01459,55-64,Southwest,womens_tops,11,M,S
P01460,55-64,Midwest,womens_dresses,16,XL,M
P01461,25-34,West,womens_tops,22,XL,L
P01462,35-44,Midwest,womens_tops,11,2X,XL
P01463,45-54,Southwest,womens_tops,4,XL,L
P01464,25-34,West,mens_tops,10,M,XS
P01465,65+,Northeast,womens_dresses,22,S,XS
P01466,45-54,Southeast,womens_tops,23,1X,XL
P01467,45-54,West,womens_dresses,14,2X,L
P01468,55-64,Southwest,womens_dresses,12,S,XS
P01469,55-64,Midwest,womens_dresses,3,L,S
P01470,25-34,Southwest,mens_tops,18,L,L
P01471,45-54,Northeast,womens_bottoms,12,XL,XL
P01472,65+,Southwest,womens_bottoms,3,3X+,3X+
P01473,35-44,West,mens_tops,23,M,XS
P01474,35-44,West,mens_tops,6,XL,L
P01475,25-34,West,womens_bottoms,8,2X,XL
P01476,65+,Midwest,womens_tops,20,1X,M
P01477,25-34,Southeast,mens_tops,9,XL,L
P01478,45-54,Southwest,mens_tops,13,L,M
P01479,25-34,Midwest,womens_bottoms,24,XL,M
P01480,25-34,West,mens_bottoms,18,1X,XL
P01481,65+,Southwest,womens_dresses,14,1X,XL
P01482,35-44,Southwest,womens_dresses,10,S,S
P01483,45-54,Southeast,womens_dresses,18,XL,M
P01484,25-34,West,mens_tops,17,XL,M
P01485,55-64,Southwest,womens_dresses,23,2X,1X
P01486,25-34,West,mens_bottoms,5,1X,XL
P01487,55-64,Northeast,mens_bottoms,22,L,M
P01488,25-34,West,mens_bottoms,24,L,S
P01489,65+,Midwest,mens_tops,16,L,M
P01490,65+,Southwest,womens_bottoms,21,1X,XL
P01491,25-34,Midwest,womens_tops,8,L,S
P01492,45-54,Southeast,womens_dresses,3,XL,M
P01493,35-44,Southwest,womens_bottoms,13,2X,1X
P01494,65+,West,mens_bottoms,13,L,M
P01495,45-54,Midwest,mens_bottoms,19,M,XS
P01496,45-54,Southwest,womens_dresses,17,XL,L
P01497,45-54,Northeast,womens_bottoms,6,XL,L
P01498,45-54,Northeast,mens_tops,13,XL,L
P01499,45-54,Midwest,mens_tops,11,1X,XL
P01500,35-44,Midwest,womens_tops,16,M,XS
P01501,35-44,Northeast,mens_tops,11,2X,1X
P01502,55-64,West,mens_tops,20,L,XS
P01503,65+,Southeast,womens_dresses,6,2X,XL
P01504,45-54,Northeast,womens_bottoms,3,2X,1X
P01505,25-34,Midwest,womens_bottoms,19,XS,XS
P01506,25-34,West,mens_tops,17,L,XS
P01507,35-44,Midwest,womens_dresses,10,2X,XL
P01508,35-44,Southwest,womens_dresses,22,2X,XL
P01509,35-44,West,womens_tops,11,M,XS
P01510,25-34,Midwest,womens_tops,11,S,S
P01511,35-44,Southeast,womens_bottoms,17,1X,XL
P01512,25-34,Midwest,mens_tops,18,XL,XL
P01513,25-34,Midwest,womens_bottoms,20,XL,XL
P01514,45-54,West,womens_tops,15,L,S
P01515,35-44,Midwest,womens_tops,20,2X,1X
P01516,55-64,West,womens_tops,6,XL,L
P01517,55-64,Northeast,mens_tops,14,XL,L
P01518,35-44,Southwest,mens_bottoms,19,M,S
P01519,65+,Southeast,womens_dresses,17,XL,M
P01520,25-34,Northeast,mens_tops,3,L,L
P01521,25-34,West,womens_dresses,22,S,XS
P01522,25-34,Southeast,womens_dresses,20,S,XS
P01523,55-64,Northeast,womens_tops,9,3X+,L
P01524,35-44,West,womens_dresses,6,XL,M
P01525,45-54,Southeast,womens_dresses,5,3X+,1X
P01526,45-54,Northeast,mens_tops,8,L,XS
P01527,65+,West,mens_tops,21,S,XS
P01528,25-34,Northeast,mens_bottoms,13,S,XS
P01529,35-44,Southwest,womens_tops,6,1X,L
P01530,35-44,West,mens_bottoms,21,2X,L
P01531,55-64,Northeast,mens_bottoms,12,L,S
P01532,65+,Southeast,mens_bottoms,19,L,S
P01533,65+,Southeast,womens_tops,21,3X+,2X
P01534,45-54,West,womens_bottoms,7,1X,XL
P01535,55-64,West,womens_dresses,14,1X,XL
P01536,35-44,Southeast,womens_bottoms,10,1X,L
P01537,65+,West,womens_bottoms,12,1X,L
P01538,65+,Southwest,mens_bottoms,16,XL,L
P01539,45-54,Southeast,mens_bottoms,17,S,XS
P01540,65+,West,womens_bottoms,7,3X+,2X
P01541,45-54,Southwest,mens_tops,3,1X,XL
P01542,35-44,Northeast,mens_tops,17,XL,S
P01543,35-44,Southeast,womens_tops,23,L,XS
P01544,55-64,Southeast,mens_bottoms,12,XS,XS
P01545,55-64,Southeast,womens_dresses,19,L,M
P01546,45-54,Southeast,mens_tops,16,L,S
P01547,25-34,West,mens_tops,24,1X,L
P01548,35-44,Southeast,womens_dresses,9,XL,XL
P01549,65+,Southeast,womens_bottoms,11,1X,XL
P01550,25-34,West,womens_bottoms,11,XL,S
P01551,25-34,West,mens_bottoms,10,2X,2X
P01552,25-34,Southwest,womens_dresses,14,3X+,2X
P01553,65+,Southwest,womens_dresses,5,XL,L
P01554,55-64,Northeast,womens_bottoms,15,M,S
P01555,25-34,West,mens_tops,8,M,S
P01556,25-34,Midwest,womens_dresses,19,S,XS
P01557,55-64,Southwest,womens_tops,18,XL,XL
P01558,55-64,Southwest,womens_bottoms,6,1X,L
P01559,45-54,Southeast,mens_bottoms,6,M,S
P01560,55-64,West,womens_tops,15,XL,L
P01561,25-34,West,womens_dresses,13,1X,M
P01562,45-54,Southeast,womens_bottoms,14,1X,L
P01563,35-44,Northeast,womens_dresses,19,XL,XL
P01564,25-34,West,mens_tops,9,XL,L
P01565,45-54,West,mens_bottoms,23,3X+,1X
P01566,55-64,Northeast,womens_dresses,23,2X,XL
P01567,35-44,Southeast,womens_tops,20,3X+,1X
P01568,35-44,West,mens_bottoms,12,2X,1X
P01569,35-44,Southeast,womens_dresses,14,L,M
P01570,65+,Midwest,womens_tops,8,1X,XL
P01571,25-34,Southwest,womens_tops,17,XL,S
P01572,35-44,West,mens_tops,16,1X,1X
P01573,45-54,Northeast,womens_bottoms,13,XL,L
P01574,25-34,Northeast,womens_dresses,13,L,S
P01575,65+,Midwest,mens_tops,16,L,S
P01576,65+,West,womens_dresses,9,2X,2X
P01577,25-34,Southwest,mens_tops,11,1X,1X
P01578,25-34,West,mens_bottoms,22,XL,L
P01579,35-44,Northeast,womens_bottoms,6,M,XS
P01580,35-44,Midwest,mens_tops,17,1X,XL
P01581,35-44,West,womens_tops,23,L,L
P01582,45-54,Southeast,mens_tops,14,L,M
P01583,65+,Northeast,mens_bottoms,21,2X,1X
P01584,65+,Southeast,womens_dresses,3,L,L
P01585,45-54,Northeast,mens_bottoms,3,XL,L
P01586,55-64,Northeast,mens_bottoms,14,XL,L
P01587,35-44,Northeast,mens_bottoms,21,XS,XS
P01588,35-44,Northeast,mens_bottoms,16,M,XS
P01589,25-34,Southwest,womens_dresses,17,XL,M
P01590,65+,Southwest,mens_bottoms,6,M,M
P01591,55-64,West,womens_tops,9,S,S
P01592,55-64,Southwest,womens_bottoms,3,L,M
P01593,65+,Southwest,mens_bottoms,15,2X,XL
P01594,65+,Southwest,womens_dresses,6,1X,1X
P01595,35-44,Southeast,womens_bottoms,15,M,S
P01596,35-44,Midwest,mens_tops,16,L,S
P01597,25-34,Southwest,womens_tops,15,2X,L
P01598,25-34,West,womens_bottoms,21,1X,1X
P01599,55-64,West,mens_tops,7,XL,L
P01600,55-64,West,womens_tops,18,M,S
P01601,45-54,West,womens_tops,20,3X+,XL
P01602,55-64,Northeast,womens_dresses,4,XL,M
P01603,25-34,Midwest,womens_dresses,8,2X,1X
P01604,35-44,Southeast,mens_bottoms,19,L,S
P01605,55-64,Southwest,womens_tops,23,M,S
P01606,65+,Northeast,womens_tops,12,S,XS
P01607,25-34,Southwest,womens_dresses,10,3X+,3X+
P01608,55-64,Southwest,womens_tops,17,XL,M
P01609,25-34,Midwest,womens_dresses,6,M,S
P01610,65+,Southeast,mens_tops,20,L,M
P01611,55-64,Southeast,mens_bottoms,7,L,L
P01612,35-44,Southwest,mens_bottoms,19,XL,L
P01613,25-34,Midwest,womens_dresses,7,L,M
P01614,35-44,West,womens_tops,14,2X,XL
P01615,25-34,Southwest,mens_tops,12,S,XS
P01616,25-34,Midwest,mens_bottoms,5,L,M
P01617,45-54,West,mens_bottoms,14,S,XS
P01618,65+,Northeast,womens_tops,18,M,XS
P01619,45-54,Southeast,womens_dresses,5,XL,XL
P01620,45-54,Southeast,mens_tops,7,M,S
P01621,55-64,Southeast,mens_bottoms,22,1X,XL
P01622,25-34,Southwest,mens_tops,6,XL,XL
P01623,35-44,Northeast,mens_tops,17,1X,M
P01624,45-54,Southeast,mens_bottoms,9,3X+,3X+
P01625,25-34,Southwest,mens_tops,9,1X,L
P01626,25-34,Midwest,mens_bottoms,17,M,S
P01627,25-34,Southwest,mens_bottoms,23,L,S
P01628,25-34,Northeast,mens_bottoms,20,XL,L
P01629,55-64,Southeast,mens_bottoms,21,L,M
P01630,25-34,Southeast,womens_tops,14,1X,L
P01631,65+,Northeast,womens_bottoms,10,2X,1X
P01632,55-64,Southeast,mens_tops,13,L,XS
P01633,65+,Midwest,womens_bottoms,20,L,M
P01634,25-34,Northeast,womens_dresses,8,XL,M
P01635,55-64,West,womens_dresses,11,L,M
P01636,45-54,Northeast,womens_dresses,14,L,L
P01637,45-54,Midwest,mens_tops,12,L,M
P01638,25-34,Southeast,womens_bottoms,17,1X,XL
P01639,45-54,West,mens_tops,22,2X,1X
P01640,55-64,Midwest,mens_bottoms,15,L,S
P01641,65+,West,womens_dresses,24,L,S
P01642,35-44,Midwest,womens_tops,7,1X,1X
P01643,55-64,West,womens_dresses,19,1X,L
P01644,65+,Midwest,womens_bottoms,17,2X,2X
P01645,65+,Southeast,mens_bottoms,20,1X,1X
P01646,25-34,Southwest,womens_dresses,21,L,S
P01647,35-44,Southwest,womens_bottoms,3,L,L
P01648,65+,Northeast,mens_bottoms,16,XL,L
P01649,45-54,Southwest,mens_tops,14,2X,L
P01650,45-54,West,womens_dresses,5,S,XS
P01651,25-34,Northeast,womens_tops,21,1X,M
P01652,35-44,Southeast,womens_dresses,24,1X,XL
P01653,45-54,West,womens_tops,24,1X,XL
P01654,55-64,Northeast,womens_bottoms,20,XL,M
P01655,55-64,Northeast,womens_dresses,9,1X,1X
P01656,45-54,Southwest,mens_bottoms,24,3X+,2X
P01657,25-34,West,mens_bottoms,5,1X,L
P01658,65+,Northeast,womens_tops,17,2X,XL
P01659,45-54,Midwest,womens_dresses,18,L,S
P01660,35-44,Southwest,mens_tops,23,L,S
P01661,25-34,Northeast,womens_tops,11,S,XS
P01662,45-54,Midwest,mens_tops,22,M,XS
P01663,35-44,Midwest,womens_tops,10,XS,XS
P01664,35-44,Southwest,mens_bottoms,3,1X,1X
P01665,55-64,West,womens_bottoms,10,XL,XL
P01666,25-34,Southwest,womens_dresses,9,XS,XS
P01667,45-54,West,mens_bottoms,6,3X+,3X+
P01668,25-34,Southwest,mens_tops,19,3X+,2X
P01669,65+,Northeast,womens_tops,8,2X,1X
P01670,35-44,Midwest,mens_bottoms,13,M,S
P01671,45-54,Northeast,womens_bottoms,3,XL,M
P01672,65+,Southeast,mens_bottoms,8,L,L
P01673,25-34,West,womens_bottoms,21,3X+,3X+
P01674,35-44,Southwest,womens_tops,16,1X,1X
P01675,25-34,Northeast,mens_bottoms,17,XL,M
P01676,45-54,Midwest,womens_dresses,18,1X,1X
P01677,55-64,Southeast,mens_tops,21,3X+,2X
P01678,65+,Southeast,womens_tops,19,1X,L
P01679,25-34,West,womens_dresses,3,3X+,3X+
P01680,45-54,Northeast,womens_bottoms,13,M,M
P01681,45-54,Midwest,mens_tops,13,2X,2X
P01682,35-44,Northeast,mens_tops,17,1X,L
P01683,55-64,Midwest,womens_tops,17,L,M
P01684,25-34,Midwest,womens_dresses,16,L,M
P01685,35-44,Southwest,mens_bottoms,4,1X,1X
P01686,35-44,Midwest,womens_bottoms,16,2X,1X
